,,crystal radius,Pauling Electronegativity,FE,OE,valence s,valence p,valence d,valence f,specific heat,thermal conductivity,Cohesive energy,GHSV,H2CO,Temp
DecisionTreeRegressor,Mean Rank,9.555555555555555,6.777777777777778,5.1,5.875,4.166666666666667,12.0,5.5,11.5,4.0,8.3,6.3,5.888888888888889,10.0,1.0
DecisionTreeRegressor,Non-Zero Frequency(%),90.0,90.0,100.0,80.0,60.0,30.0,100.0,20.0,90.0,100.0,100.0,90.0,80.0,100.0
DecisionTreeRegressor,IIS,0.6375348837209304,0.651688524590164,0.7347058823529412,0.5921702127659575,0.4812,0.2285,0.7300000000000001,0.16269565217391305,0.6855000000000001,0.7097590361445784,0.7223809523809525,0.6590377358490567,0.5690000000000001,1.0
SVR,Mean Rank,13.5,10.3,13.5,8.0,9.0,10.9,4.0,6.0,7.0,2.0,5.0,3.0,11.8,1.0
SVR,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SVR,IIS,0.6944444444444445,0.7020388349514564,0.6944444444444445,0.71125,0.7066666666666667,0.7002752293577982,0.7525000000000001,0.7250000000000001,0.7171428571428572,0.8350000000000001,0.736,0.78,0.6979661016949152,1.0
KNeighborsRegressor,Mean Rank,13.2,9.8,12.4,7.9,9.6,11.5,4.0,5.7,7.1,3.0,5.3,1.1,12.5,1.9
KNeighborsRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
KNeighborsRegressor,IIS,0.6950000000000001,0.7036734693877551,0.6966129032258065,0.7117721518987342,0.7043750000000001,0.698695652173913,0.7525000000000001,0.7278947368421053,0.7164788732394367,0.78,0.7322641509433963,0.97,0.6964,0.8436842105263158
GaussianProcessRegressor,Mean Rank,13.3,10.1,13.5,7.9,9.0,11.2,4.0,5.0,7.1,3.0,6.0,1.2,11.9,1.8
GaussianProcessRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GaussianProcessRegressor,IIS,0.694812030075188,0.7026732673267327,0.6944444444444445,0.7117721518987342,0.7066666666666667,0.6994642857142858,0.7525000000000001,0.736,0.7164788732394367,0.78,0.7250000000000001,0.9450000000000001,0.6977310924369748,0.8533333333333334
GradientBoostingRegressor,Mean Rank,8.3,9.9,4.1,6.0,6.9,13.2,6.1,13.0,3.4,9.1,2.9,10.2,10.8,1.0
GradientBoostingRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0
GradientBoostingRegressor,IIS,0.7097590361445784,0.7033333333333334,0.7504878048780488,0.7250000000000001,0.7178260869565218,0.6950000000000001,0.7240983606557377,0.6283846153846154,0.7670588235294118,0.7062637362637363,0.7837931034482759,0.7023529411764706,0.7005555555555556,1.0
XGBRegressor,Mean Rank,6.2,9.0,2.8,5.7,8.7,12.7,6.5,13.875,5.7,8.5,4.0,9.7,10.6,1.0
XGBRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0
XGBRegressor,IIS,0.7232258064516129,0.7066666666666667,0.7878571428571429,0.7278947368421053,0.7079310344827586,0.695984251968504,0.7207692307692308,0.5597837837837838,0.7278947368421053,0.7088235294117647,0.7525000000000001,0.7040206185567011,0.7011320754716982,1.0
