,,crystal radius,Pauling Electronegativity,FE,OE,valence s,valence p,valence d,valence f,specific heat,thermal conductivity,Cohesive energy
DecisionTreeRegressor,Mean Rank,3.25,3.7142857142857144,3.857142857142857,4.5,3.25,7.0,4.5,4.666666666666667,3.375,5.4,2.7
DecisionTreeRegressor,Non-Zero Frequency(%),80.0,70.0,70.0,40.0,40.0,20.0,40.0,30.0,80.0,50.0,100.0
DecisionTreeRegressor,IIS,0.6375384615384616,0.5578461538461539,0.5545555555555555,0.3413333333333334,0.3695384615384616,0.18114285714285716,0.3413333333333334,0.27171428571428574,0.6337777777777778,0.39611111111111114,0.7922222222222223
RandomForestRegressor,Mean Rank,5.1,7.5,3.9,5.6,6.7,10.3,2.4,10.7,3.2,7.5,3.1
RandomForestRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
RandomForestRegressor,IIS,0.7347058823529412,0.7140000000000001,0.7546153846153847,0.7289285714285715,0.7192537313432836,0.7020388349514564,0.8075000000000001,0.7008411214953272,0.7731250000000001,0.7140000000000001,0.7764516129032258
GradientBoostingRegressor,Mean Rank,3.3,6.4,5.6,6.7,8.0,10.0,6.1,8.625,4.3,5.0,1.5
GradientBoostingRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,90.0,100.0,80.0,100.0,100.0,100.0
GradientBoostingRegressor,IIS,0.77,0.7215625,0.7289285714285715,0.7192537313432836,0.71125,0.6360000000000001,0.7240983606557377,0.5742608695652174,0.7467441860465117,0.736,0.89
XGBRegressor,Mean Rank,4.3,6.444444444444445,4.3,5.125,7.333333333333333,10.0,3.875,9.0,2.111111111111111,6.444444444444445,2.7
XGBRegressor,Non-Zero Frequency(%),100.0,90.0,100.0,80.0,60.0,10.0,80.0,10.0,90.0,90.0,100.0
XGBRegressor,IIS,0.7467441860465117,0.6542068965517243,0.7467441860465117,0.6003902439024391,0.447,0.1,0.6211612903225807,0.10366666666666667,0.7593157894736843,0.6542068965517243,0.7922222222222223
SVR,Mean Rank,11.0,8.9,10.0,5.6,7.3,7.8,2.0,3.6,5.4,1.0,3.4
SVR,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SVR,IIS,0.7000000000000001,0.7070786516853933,0.7030000000000001,0.7289285714285715,0.7152054794520548,0.7123076923076923,0.8350000000000001,0.7616666666666667,0.7311111111111112,1.0,0.7670588235294118
KNeighborsRegressor,Mean Rank,10.6,8.0,8.6,7.6,7.6,8.0,2.3,2.7,4.7,1.0,4.3
KNeighborsRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0
KNeighborsRegressor,IIS,0.7011320754716982,0.71125,0.7083720930232559,0.713421052631579,0.713421052631579,0.57725,0.8134782608695653,0.7922222222222223,0.7402127659574469,1.0,0.7467441860465117
GaussianProcessRegressor,Mean Rank,11.0,8.5,9.9,5.8,6.9,8.3,2.0,3.6,5.3,1.0,3.7
GaussianProcessRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GaussianProcessRegressor,IIS,0.7000000000000001,0.7088235294117647,0.7033333333333334,0.726896551724138,0.7178260869565218,0.7097590361445784,0.8350000000000001,0.7616666666666667,0.7322641509433963,1.0,0.7591891891891892
