,,crystal radius,Pauling Electronegativity,FE,OE,valence s,valence p,valence d,valence f,specific heat,thermal conductivity,Cohesive energy
DecisionTreeRegressor,Mean Rank,2.4285714285714284,3.7142857142857144,2.7142857142857144,3.5,6.0,,1.3333333333333333,,3.8,3.25,1.7142857142857142
DecisionTreeRegressor,Non-Zero Frequency(%),70.0,70.0,70.0,20.0,10.0,0.0,30.0,0.0,50.0,40.0,70.0
DecisionTreeRegressor,IIS,0.6048823529411764,0.5578461538461539,0.590578947368421,0.2282857142857143,0.122,0.0,0.4485,0.0,0.4218421052631579,0.3695384615384616,0.6615
RandomForestRegressor,Mean Rank,4.6,6.8,3.3,5.3,6.1,10.7,1.9,10.222222222222221,6.8,8.4,1.8
RandomForestRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0
RandomForestRegressor,IIS,0.7417391304347827,0.718529411764706,0.77,0.7322641509433963,0.7240983606557377,0.7008411214953272,0.8436842105263158,0.6352826086956522,0.718529411764706,0.7092857142857143,0.8533333333333334
GradientBoostingRegressor,Mean Rank,3.4,6.222222222222222,3.5,8.0,5.888888888888889,10.0,6.7,8.444444444444445,4.111111111111111,6.777777777777778,1.8
GradientBoostingRegressor,Non-Zero Frequency(%),100.0,90.0,100.0,100.0,90.0,70.0,100.0,90.0,90.0,90.0,100.0
GradientBoostingRegressor,IIS,0.7670588235294118,0.6560357142857144,0.7642857142857143,0.71125,0.6590377358490567,0.502,0.7192537313432836,0.6420789473684212,0.6832702702702704,0.651688524590164,0.8533333333333334
XGBRegressor,Mean Rank,3.111111111111111,6.0,3.0,5.0,4.5,5.0,3.0,7.0,4.333333333333333,6.5,1.1
XGBRegressor,Non-Zero Frequency(%),90.0,30.0,100.0,10.0,20.0,10.0,50.0,10.0,90.0,40.0,100.0
XGBRegressor,IIS,0.7090714285714287,0.256,0.78,0.133,0.20733333333333334,0.133,0.445,0.11414285714285714,0.6791538461538462,0.3187692307692308,0.97
SVR,Mean Rank,10.8,8.5,9.9,6.6,7.1,8.1,2.0,3.7,4.7,1.0,3.6
SVR,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SVR,IIS,0.7005555555555556,0.7088235294117647,0.7033333333333334,0.7200000000000001,0.7164788732394367,0.7107407407407408,0.8350000000000001,0.7591891891891892,0.7402127659574469,1.0,0.7616666666666667
KNeighborsRegressor,Mean Rank,10.7,7.6,6.9,7.5,7.9,9.88888888888889,2.0,3.3,5.3,1.0,3.8
KNeighborsRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0
KNeighborsRegressor,IIS,0.7008411214953272,0.713421052631579,0.7178260869565218,0.7140000000000001,0.7117721518987342,0.636370786516854,0.8350000000000001,0.77,0.7322641509433963,1.0,0.756842105263158
GaussianProcessRegressor,Mean Rank,9.0,6.3,8.1,4.5,7.0,10.7,2.0,8.8,5.5,1.0,3.1
GaussianProcessRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GaussianProcessRegressor,IIS,0.7066666666666667,0.7223809523809525,0.7107407407407408,0.7433333333333334,0.7171428571428572,0.7008411214953272,0.8350000000000001,0.7075,0.7300000000000001,1.0,0.7764516129032258
