,,crystal radius,Pauling Electronegativity,FE,OE,valence s,valence p,valence d,valence f,specific heat,thermal conductivity,Cohesive energy
DecisionTreeRegressor,Mean Rank,3.0,4.5,3.2857142857142856,4.75,2.8333333333333335,6.0,4.666666666666667,5.333333333333333,2.6666666666666665,5.0,1.875
DecisionTreeRegressor,Non-Zero Frequency(%),90.0,40.0,70.0,40.0,60.0,10.0,60.0,30.0,60.0,50.0,80.0
DecisionTreeRegressor,IIS,0.7130000000000001,0.3413333333333334,0.5694347826086956,0.3374736842105263,0.5184705882352941,0.122,0.47271428571428575,0.262875,0.52575,0.401,0.7120000000000001
RandomForestRegressor,Mean Rank,4.3,7.4,2.6,7.3,7.1,10.7,2.9,10.1,4.9,7.2,1.5
RandomForestRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
RandomForestRegressor,IIS,0.7467441860465117,0.7145945945945946,0.796923076923077,0.7152054794520548,0.7164788732394367,0.7008411214953272,0.7837931034482759,0.7026732673267327,0.7373469387755103,0.7158333333333333,0.89
GradientBoostingRegressor,Mean Rank,4.4,6.0,2.8,7.7,8.625,10.125,4.6,7.875,5.0,6.1,1.7
GradientBoostingRegressor,Non-Zero Frequency(%),100.0,80.0,100.0,100.0,80.0,80.0,100.0,80.0,100.0,100.0,100.0
GradientBoostingRegressor,IIS,0.745,0.5910000000000001,0.7878571428571429,0.7128571428571429,0.5742608695652174,0.5685925925925926,0.7417391304347827,0.5779047619047619,0.736,0.7240983606557377,0.8641176470588235
XGBRegressor,Mean Rank,3.7,6.0,2.0,7.125,8.0,9.0,3.888888888888889,7.0,5.0,6.777777777777778,1.5
XGBRegressor,Non-Zero Frequency(%),100.0,70.0,100.0,80.0,30.0,10.0,90.0,40.0,100.0,90.0,100.0
XGBRegressor,IIS,0.7591891891891892,0.524,0.8350000000000001,0.5823157894736842,0.24225000000000002,0.10366666666666667,0.687857142857143,0.31514285714285717,0.736,0.651688524590164,0.89
SVR,Mean Rank,11.0,9.0,10.0,5.9,7.6,7.4,2.0,4.0,5.1,1.0,3.0
SVR,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SVR,IIS,0.7000000000000001,0.7066666666666667,0.7030000000000001,0.7259322033898306,0.713421052631579,0.7145945945945946,0.8350000000000001,0.7525000000000001,0.7347058823529412,1.0,0.78
GaussianProcessRegressor,Mean Rank,6.1,6.5,6.8,4.1,8.6,10.9,2.7,9.9,5.5,1.6,3.3
GaussianProcessRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GaussianProcessRegressor,IIS,0.7240983606557377,0.7207692307692308,0.718529411764706,0.7504878048780488,0.7083720930232559,0.7002752293577982,0.7922222222222223,0.7033333333333334,0.7300000000000001,0.8762500000000001,0.77
KNeighborsRegressor,Mean Rank,10.9,7.9,6.6,7.1,9.1,8.8,2.4,3.0,5.5,1.0,3.7
KNeighborsRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
KNeighborsRegressor,IIS,0.7002752293577982,0.7117721518987342,0.7200000000000001,0.7164788732394367,0.7062637362637363,0.7075,0.8075000000000001,0.78,0.7300000000000001,1.0,0.7591891891891892
