,,crystal radius,FE,valence s,valence p,valence d,valence f,thermal conductivity,Cohesive energy
DecisionTreeRegressor,Mean Rank,2.6666666666666665,3.8333333333333335,5.0,5.0,1.5,4.0,3.888888888888889,1.2222222222222223
DecisionTreeRegressor,Non-Zero Frequency(%),90.0,60.0,20.0,30.0,40.0,20.0,90.0,90.0
DecisionTreeRegressor,IIS,0.7267500000000001,0.48808695652173917,0.2,0.267,0.488,0.21650000000000003,0.687857142857143,0.8730000000000001
RandomForestRegressor,Mean Rank,3.4,2.7,3.7,7.3,2.5,7.7,5.5,3.2
RandomForestRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
RandomForestRegressor,IIS,0.7670588235294118,0.7922222222222223,0.7591891891891892,0.7152054794520548,0.802,0.7128571428571429,0.7300000000000001,0.7731250000000001
GradientBoostingRegressor,Mean Rank,3.0,4.0,6.0,6.5,3.5,6.8,3.8,2.4
GradientBoostingRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GradientBoostingRegressor,IIS,0.78,0.7525000000000001,0.7250000000000001,0.7207692307692308,0.7642857142857143,0.718529411764706,0.756842105263158,0.8075000000000001
XGBRegressor,Mean Rank,2.6,2.7,5.2,7.0,2.75,7.0,4.428571428571429,2.4
XGBRegressor,Non-Zero Frequency(%),100.0,100.0,50.0,10.0,80.0,20.0,70.0,100.0
XGBRegressor,IIS,0.796923076923077,0.7922222222222223,0.3984615384615385,0.11414285714285714,0.656,0.18114285714285716,0.5435161290322581,0.8075000000000001
SVR,Mean Rank,8.0,7.0,5.3,5.7,2.0,4.0,1.0,3.0
SVR,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SVR,IIS,0.71125,0.7171428571428572,0.7322641509433963,0.7278947368421053,0.8350000000000001,0.7525000000000001,1.0,0.78
KNeighborsRegressor,Mean Rank,7.3,5.8,6.6,6.2,2.2,2.8,1.0,4.1
KNeighborsRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
KNeighborsRegressor,IIS,0.7152054794520548,0.726896551724138,0.7200000000000001,0.7232258064516129,0.8200000000000001,0.7878571428571429,1.0,0.7504878048780488
GaussianProcessRegressor,Mean Rank,8.0,7.0,5.2,5.8,2.0,3.5,1.0,3.5
GaussianProcessRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GaussianProcessRegressor,IIS,0.71125,0.7171428571428572,0.7334615384615385,0.726896551724138,0.8350000000000001,0.7642857142857143,1.0,0.7642857142857143
