,,crystal radius,FE,valence s,valence p,valence d,valence f,thermal conductivity,Cohesive energy
DecisionTreeRegressor,Mean Rank,4.0,2.6666666666666665,2.5,,2.3333333333333335,5.0,3.6666666666666665,1.7777777777777777
DecisionTreeRegressor,Non-Zero Frequency(%),30.0,60.0,40.0,0.0,60.0,30.0,30.0,90.0
DecisionTreeRegressor,IIS,0.28350000000000003,0.52575,0.4,0.0,0.5434285714285715,0.267,0.29100000000000004,0.7886250000000001
RandomForestRegressor,Mean Rank,3.6,3.3,4.2,7.875,2.6,7.1,5.9,1.4
RandomForestRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0
RandomForestRegressor,IIS,0.7616666666666667,0.77,0.7485714285714287,0.5779047619047619,0.796923076923077,0.7164788732394367,0.7259322033898306,0.9057142857142858
GradientBoostingRegressor,Mean Rank,3.2222222222222223,2.5,6.0,6.5,4.5,5.75,4.777777777777778,1.8
GradientBoostingRegressor,Non-Zero Frequency(%),90.0,100.0,80.0,60.0,100.0,80.0,90.0,100.0
GradientBoostingRegressor,IIS,0.7054137931034483,0.802,0.5910000000000001,0.4527692307692308,0.7433333333333334,0.5933913043478262,0.6720697674418605,0.8533333333333334
XGBRegressor,Mean Rank,2.75,2.6,3.3333333333333335,,2.6,6.0,5.0,1.4
XGBRegressor,Non-Zero Frequency(%),80.0,100.0,30.0,0.0,50.0,20.0,20.0,100.0
XGBRegressor,IIS,0.656,0.796923076923077,0.30000000000000004,0.0,0.46192307692307694,0.189,0.2,0.9057142857142858
SVR,Mean Rank,7.8,7.0,5.2,6.0,2.0,3.6,1.0,3.4
SVR,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SVR,IIS,0.7123076923076923,0.7171428571428572,0.7334615384615385,0.7250000000000001,0.8350000000000001,0.7616666666666667,1.0,0.7670588235294118
GaussianProcessRegressor,Mean Rank,5.9,4.9,5.0,7.8,2.0,6.3,1.0,3.1
GaussianProcessRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GaussianProcessRegressor,IIS,0.7259322033898306,0.7373469387755103,0.736,0.7123076923076923,0.8350000000000001,0.7223809523809525,1.0,0.7764516129032258
KNeighborsRegressor,Mean Rank,7.3,4.9,7.1,6.6,2.0,3.6,1.0,3.5
KNeighborsRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
KNeighborsRegressor,IIS,0.7152054794520548,0.7373469387755103,0.7164788732394367,0.7200000000000001,0.8350000000000001,0.7616666666666667,1.0,0.7642857142857143
