,,crystal radius,FE,valence s,valence p,valence d,valence f,thermal conductivity,specific heat
DecisionTreeRegressor,Mean Rank,3.7,3.4444444444444446,1.6666666666666667,5.5,1.9,5.0,4.4,3.0
DecisionTreeRegressor,Non-Zero Frequency(%),100.0,90.0,30.0,40.0,100.0,70.0,50.0,100.0
DecisionTreeRegressor,IIS,0.7591891891891892,0.6988064516129033,0.399,0.328,0.8436842105263158,0.5349999999999999,0.41000000000000003,0.78
RandomForestRegressor,Mean Rank,3.6,2.5,3.9,7.3,2.0,7.7,5.8,3.2
RandomForestRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
RandomForestRegressor,IIS,0.7616666666666667,0.802,0.7546153846153847,0.7152054794520548,0.8350000000000001,0.7128571428571429,0.726896551724138,0.7731250000000001
GradientBoostingRegressor,Mean Rank,4.1,3.1,4.888888888888889,6.625,1.5,6.875,5.444444444444445,3.1
GradientBoostingRegressor,Non-Zero Frequency(%),100.0,100.0,90.0,80.0,100.0,80.0,90.0,100.0
GradientBoostingRegressor,IIS,0.7504878048780488,0.7764516129032258,0.6705000000000001,0.585811320754717,0.89,0.5840000000000001,0.6636122448979592,0.7764516129032258
XGBRegressor,Mean Rank,3.3,3.1,4.714285714285714,7.0,2.0,5.333333333333333,4.25,2.0
XGBRegressor,Non-Zero Frequency(%),100.0,100.0,70.0,20.0,90.0,30.0,80.0,70.0
XGBRegressor,IIS,0.77,0.7764516129032258,0.5389999999999999,0.18114285714285716,0.7680000000000001,0.262875,0.6136470588235294,0.634
SVR,Mean Rank,8.0,7.0,5.3,5.7,2.0,3.0,1.0,4.0
SVR,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SVR,IIS,0.71125,0.7171428571428572,0.7322641509433963,0.7278947368421053,0.8350000000000001,0.78,1.0,0.7525000000000001
KNeighborsRegressor,Mean Rank,7.5,5.5,6.9,5.6,2.3,2.7,1.0,4.5
KNeighborsRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
KNeighborsRegressor,IIS,0.7140000000000001,0.7300000000000001,0.7178260869565218,0.7289285714285715,0.8134782608695653,0.7922222222222223,1.0,0.7433333333333334
GaussianProcessRegressor,Mean Rank,8.0,7.0,5.2,5.8,2.0,3.0,1.0,4.0
GaussianProcessRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GaussianProcessRegressor,IIS,0.71125,0.7171428571428572,0.7334615384615385,0.726896551724138,0.8350000000000001,0.78,1.0,0.7525000000000001
