,,crystal radius,FE,valence s,valence p,valence d,valence f,thermal conductivity,specific heat
DecisionTreeRegressor,Mean Rank,3.8,2.111111111111111,3.5,5.666666666666667,1.3,5.333333333333333,2.6666666666666665,5.5
DecisionTreeRegressor,Non-Zero Frequency(%),50.0,90.0,60.0,30.0,100.0,30.0,60.0,40.0
DecisionTreeRegressor,IIS,0.4218421052631579,0.7593157894736843,0.49628571428571433,0.25923529411764706,0.9238461538461539,0.262875,0.52575,0.328
RandomForestRegressor,Mean Rank,3.1,2.6,4.2,7.25,1.5,7.5,5.0,4.7
RandomForestRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,80.0,100.0,80.0,100.0,100.0
RandomForestRegressor,IIS,0.7764516129032258,0.796923076923077,0.7485714285714287,0.5815172413793104,0.89,0.5800000000000001,0.736,0.7402127659574469
GradientBoostingRegressor,Mean Rank,3.7142857142857144,2.4,5.571428571428571,7.142857142857143,1.7,6.375,3.4,4.75
GradientBoostingRegressor,Non-Zero Frequency(%),70.0,100.0,70.0,70.0,100.0,80.0,100.0,80.0
GradientBoostingRegressor,IIS,0.5578461538461539,0.8075000000000001,0.5282307692307692,0.5152,0.8641176470588235,0.587764705882353,0.7670588235294118,0.6054736842105264
XGBRegressor,Mean Rank,3.2,2.3,2.0,,1.6666666666666667,5.0,3.4444444444444446,4.4
XGBRegressor,Non-Zero Frequency(%),100.0,100.0,20.0,0.0,90.0,20.0,90.0,50.0
XGBRegressor,IIS,0.7731250000000001,0.8134782608695653,0.29900000000000004,0.0,0.8010000000000002,0.2,0.6988064516129033,0.41000000000000003
SVR,Mean Rank,7.9,7.1,5.2,5.8,2.0,3.2,1.0,3.8
SVR,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SVR,IIS,0.7117721518987342,0.7164788732394367,0.7334615384615385,0.726896551724138,0.8350000000000001,0.7731250000000001,1.0,0.756842105263158
GaussianProcessRegressor,Mean Rank,5.9,5.0,4.7,7.8,2.0,6.3,1.0,3.3
GaussianProcessRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GaussianProcessRegressor,IIS,0.7259322033898306,0.736,0.7402127659574469,0.7123076923076923,0.8350000000000001,0.7223809523809525,1.0,0.77
KNeighborsRegressor,Mean Rank,7.2,4.2,7.5,6.3,2.0,3.2,1.0,4.6
KNeighborsRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
KNeighborsRegressor,IIS,0.7158333333333333,0.7485714285714287,0.7140000000000001,0.7223809523809525,0.8350000000000001,0.7731250000000001,1.0,0.7417391304347827
