,,crystal radius,FE,valence s,valence p,valence d,valence f,thermal conductivity,specific heat
DecisionTreeRegressor,Mean Rank,2.4285714285714284,2.75,3.4,4.0,2.2,6.0,3.875,3.4285714285714284
DecisionTreeRegressor,Non-Zero Frequency(%),70.0,80.0,50.0,30.0,100.0,50.0,80.0,70.0
DecisionTreeRegressor,IIS,0.6048823529411764,0.656,0.4320588235294118,0.28350000000000003,0.8200000000000001,0.39,0.6211612903225807,0.56525
RandomForestRegressor,Mean Rank,4.0,1.6,5.0,7.3,1.4,7.3,5.1,4.3
RandomForestRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
RandomForestRegressor,IIS,0.7525000000000001,0.8762500000000001,0.736,0.7152054794520548,0.9057142857142858,0.7152054794520548,0.7347058823529412,0.7467441860465117
GradientBoostingRegressor,Mean Rank,4.4,1.8,5.333333333333333,5.857142857142857,1.4,6.0,5.2,5.0
GradientBoostingRegressor,Non-Zero Frequency(%),100.0,100.0,90.0,70.0,100.0,70.0,100.0,100.0
GradientBoostingRegressor,IIS,0.745,0.8533333333333334,0.6648750000000001,0.5253414634146342,0.9057142857142858,0.524,0.7334615384615385,0.736
XGBRegressor,Mean Rank,3.7,1.7,6.222222222222222,6.25,1.3333333333333333,6.75,4.4,3.7
XGBRegressor,Non-Zero Frequency(%),100.0,100.0,90.0,40.0,90.0,40.0,100.0,100.0
XGBRegressor,IIS,0.7591891891891892,0.8641176470588235,0.6560357142857144,0.32080000000000003,0.8505,0.3168888888888889,0.745,0.7591891891891892
SVR,Mean Rank,8.0,7.0,5.5,5.5,2.0,3.1,1.0,3.9
SVR,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SVR,IIS,0.71125,0.7171428571428572,0.7300000000000001,0.7300000000000001,0.8350000000000001,0.7764516129032258,1.0,0.7546153846153847
GaussianProcessRegressor,Mean Rank,5.2,4.4,5.4,7.8,2.1,6.8,1.0,3.3
GaussianProcessRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GaussianProcessRegressor,IIS,0.7334615384615385,0.745,0.7311111111111112,0.7123076923076923,0.8271428571428572,0.718529411764706,1.0,0.77
KNeighborsRegressor,Mean Rank,7.8,4.8,7.1,5.5,2.3,3.0,1.0,4.5
KNeighborsRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
KNeighborsRegressor,IIS,0.7123076923076923,0.73875,0.7164788732394367,0.7300000000000001,0.8134782608695653,0.78,1.0,0.7433333333333334
